RA,Dec,mag,x,y,x0,y0
310.3579167,45.28027778,1.25,,,,
305.5570833,40.25666667,2.2,,,,
311.5529167,33.97027778,2.46,,,,
296.24375,45.13083333,2.87,,,,
292.6804167,27.95972222,3.08,,,,
318.2341667,30.22694444,3.2,,,,
316.2329167,43.92777778,3.72,,,,
318.6979167,38.04555556,3.72,,,,
289.2758333,53.36861111,3.77,,,,
292.42625,51.72972222,3.79,,,,
303.4079167,46.74138889,3.79,,,,
299.0766667,35.08333333,3.89,,,,
314.2933333,41.16722222,3.94,,,,
303.8679167,47.71444444,3.98,,,,
307.34875,30.36861111,4.01,,,,
323.4954167,45.59194444,4.02,,,,
311.4154167,30.71972222,4.22,,,,
297.64125,32.91416667,4.23,,,,
319.3541667,39.39472222,4.23,,,,
326.6983333,49.30944444,4.23,,,,
303.3495833,56.56777778,4.3,,,,
305.9654167,32.19,4.43,,,,
319.4795833,34.89694444,4.43,,,,
294.1104167,50.22111111,4.48,,,,
311.8520833,36.49083333,4.53,,,,
316.6504167,47.64833333,4.55,,,,
308.4758333,35.25083333,4.61,,,,
325.52375,51.18972222,4.67,,,,
294.8441667,30.15333333,4.69,,,,
326.0358333,28.74277778,4.73,,,,
292.9429167,34.45305556,4.74,,,,
314.9566667,47.52111111,4.74,,,,
313.3116667,44.38722222,4.78,,,,
304.4466667,38.03305556,4.81,,,,
303.325,46.81583333,4.83,,,,
312.2345833,46.11416667,4.84,,,,
296.0691667,37.35444444,4.89,,,,
323.6941667,38.53416667,4.9,,,,
298.9075,52.43888889,4.92,,,,
311.795,34.37416667,4.92,,,,
302.3566667,36.83972222,4.93,,,,
298.9654167,38.48666667,4.94,,,,
307.5145833,48.95166667,4.95,,,,
298.9808333,58.84611111,4.96,,,,
291.0316667,29.62138889,4.97,,,,
303.6333333,36.80638889,4.97,,,,
296.6066667,33.72777778,4.99,,,,
319.6133333,43.94583333,5,,,,
324.2375,40.41361111,5.01,,,,
297.6570833,52.98805556,5.03,,,,
312.5204167,44.05944444,5.04,,,,
300.34,50.10472222,5.05,,,,
295.2091667,45.525,5.06,,,,
292.68875,27.96527778,5.11,,,,
325.04625,43.27388889,5.11,,,,
297.6416667,38.7225,5.12,,,,
298.3225,57.52361111,5.14,,,,
