RA,Dec,mag,x,y,x0,y0
319.645,62.58555556,2.44,,,,
354.8366667,77.6325,3.21,,,,
322.165,70.56083333,3.23,,,,
332.71375,58.20111111,3.35,,,,
311.3225,61.83888889,3.43,,,,
342.42,66.20055556,3.52,,,,
337.2929167,58.41527778,3.75,,,,
325.8766667,58.78,4.08,,,,
333.7583333,57.04361111,4.19,,,,
307.3954167,62.99416667,4.22,,,,
17.18625,86.25694444,4.25,,,,
326.3620833,61.12083333,4.29,,,,
330.9475,64.62777778,4.29,,,,
302.2220833,77.71138889,4.39,,,,
346.9745833,75.3875,4.41,,,,
311.3379167,57.57972222,4.51,,,,
325.4804167,71.31138889,4.56,,,,
343.6033333,84.34611111,4.71,,,,
324.48,62.08194444,4.73,,,,
341.8708333,83.15388889,4.74,,,,
349.65625,68.11166667,4.75,,,,
332.4516667,72.34111111,4.79,,,,
329.1629167,63.62555556,4.91,,,,
329.8125,73.18,5.03,,,,
332.8779167,59.41444444,5.04,,,,
356.9783333,67.80694444,5.04,,,,
75.08625,81.19388889,5.07,,,,
115.1270833,87.02,5.07,,,,
338.9420833,73.64305556,5.08,,,,
62.51166667,80.69861111,5.1,,,,
331.2870833,62.28,5.11,,,,
325.7666667,72.32027778,5.17,,,,
319.8425,64.87194444,5.18,,,,
339.6625,63.58444444,5.19,,,,
332.9533333,56.83944444,5.24,,,,
345.8870833,67.20916667,5.24,,,,
331.2520833,62.78555556,5.27,,,,
333.2941667,86.10805556,5.27,,,,
330.9704167,63.11972222,5.29,,,,
333.0079167,60.75944444,5.35,,,,
66.76166667,80.82416667,5.43,,,,
321.9420833,66.80916667,5.44,,,,
50.08208333,77.73472222,5.45,,,,
67.50041667,83.34055556,5.46,,,,
336.7720833,65.13222222,5.46,,,,
336.5033333,70.77083333,5.47,,,,
46.5325,79.41861111,5.49,,,,
332.6620833,70.13277778,5.5,,,,
337.4704167,78.82416667,5.5,,,,
314.8558333,59.43861111,5.51,,,,
326.8554167,60.69277778,5.52,,,,
322.7470833,60.45944444,5.53,,,,
330.5191667,58.00055556,5.56,,,,
348.9075,70.88805556,5.56,,,,
67.05416667,83.80777778,5.57,,,,
310.7958333,66.6575,5.58,,,,
351.7533333,87.3075,5.58,,,,
342.845,61.69694444,5.6,,,,
351.8191667,70.35972222,5.6,,,,
53.08375,84.91111111,5.61,,,,
13.72125,83.70722222,5.62,,,,
324.74,57.48916667,5.62,,,,
18.06958333,79.67388889,5.64,,,,
317.9508333,59.98638889,5.64,,,,
319.8158333,58.62361111,5.66,,,,
1.175,67.16666667,5.67,,,,
338.0675,76.22638889,5.68,,,,
328.0041667,55.79694444,5.71,,,,
334.5529167,62.80444444,5.75,,,,
41.94833333,81.44833333,5.78,,,,
311.0916667,56.48805556,5.78,,,,
303.3654167,60.64055556,5.79,,,,
333.0929167,63.29138889,5.79,,,,
339.3041667,75.37166667,5.79,,,,
328.7216667,56.61138889,5.8,,,,
315.5379167,56.66972222,5.83,,,,
336.6770833,78.78583333,5.83,,,,
348.6554167,74.23111111,5.84,,,,
353.7458333,71.64222222,5.84,,,,
62.50625,86.62611111,5.86,,,,
328.8795833,65.32083333,5.86,,,,
316.5970833,71.43194444,5.87,,,,
334.1104167,57.22027778,5.88,,,,
342.7591667,85.37361111,5.9,,,,
316.3720833,78.12638889,5.91,,,,
329.7225,62.69833333,5.93,,,,
47.92833333,81.47055556,5.95,,,,
318.9258333,77.01222222,5.95,,,,
326.2220833,62.46055556,5.95,,,,
354.7933333,75.29277778,5.95,,,,
356.6529167,66.78222222,5.95,,,,
321.2070833,80.52472222,5.97,,,,
319.3095833,55.79805556,5.98,,,,
