RA,Dec,mag,x,y,x0,y0
79.1725,45.99805556,0.08,,,,
89.88208333,44.9475,1.9,,,,
89.93041667,37.2125,2.62,,,,
74.24833333,33.16611111,2.69,,,,
75.49208333,43.82333333,2.99,,,,
76.62875,41.23444444,3.17,,,,
89.88166667,54.28472222,3.72,,,,
75.61958333,41.07583333,3.75,,,,
87.8725,39.14861111,3.97,,,,
89.98375,45.93694444,4.26,,,,
93.84458333,29.49805556,4.35,,,,
87.29375,39.18111111,4.52,,,,
79.54458333,33.37166667,4.54,,,,
79.78541667,40.09916667,4.71,,,,
87.76,37.30555556,4.74,,,,
83.18208333,32.19194444,4.76,,,,
73.15833333,36.70305556,4.78,,,,
99.83291667,42.48888889,4.79,,,,
78.35708333,38.48444444,4.86,,,,
72.4775,37.48833333,4.88,,,,
107.91375,39.32055556,4.9,,,,
96.22458333,49.28805556,4.91,,,,
74.81416667,37.89027778,4.94,,,,
81.16333333,37.38555556,4.99,,,,
88.71166667,55.70694444,4.99,,,,
76.66916667,51.59777778,5,,,,
78.85166667,32.68777778,5.02,,,,
100.7708333,44.52444444,5.02,,,,
102.69125,41.78138889,5.02,,,,
80.00375,33.95805556,5.03,,,,
81.91208333,34.47583333,5.07,,,,
110.5108333,36.76055556,5.13,,,,
111.0354167,40.67222222,5.19,,,,
99.705,39.9025,5.2,,,,
101.915,48.78944444,5.22,,,,
80.45166667,41.80444444,5.23,,,,
101.6845833,43.5775,5.25,,,,
98.80041667,28.02222222,5.27,,,,
99.13708333,38.44527778,5.29,,,,
91.64625,38.48277778,5.36,,,,
95.44208333,53.45222222,5.36,,,,
84.65875,30.4925,5.4,,,,
79.75,33.74833333,5.41,,,,
86.475,49.82638889,5.47,,,,
79.56625,42.79222222,5.48,,,,
80.06166667,41.08611111,5.52,,,,
80.70958333,41.02944444,5.54,,,,
97.14208333,30.49305556,5.55,,,,
72.30333333,31.43722222,5.58,,,,
72.78875,48.74083333,5.66,,,,
77.67875,46.96222222,5.68,,,,
99.66458333,39.39083333,5.69,,,,
73.19916667,42.58666667,5.71,,,,
84.14666667,54.42888889,5.73,,,,
90.24416667,47.90194444,5.73,,,,
81.78458333,30.20861111,5.74,,,,
80.30291667,29.57,5.76,,,,
93.08375,32.69333333,5.78,,,,
109.5091667,40.88333333,5.78,,,,
99.59583333,28.98416667,5.79,,,,
72.32916667,32.58833333,5.86,,,,
104.2333333,46.705,5.86,,,,
91.26416667,42.98166667,5.87,,,,
98.11333333,32.45472222,5.87,,,,
