RA,Dec,mag,x,y,x0,y0
292.17625,24.665,4.44,,,,
303.9420833,27.81416667,4.52,,,,
298.3654167,24.07972222,4.58,,,,
313.0320833,27.09694444,4.59,,,,
300.2754167,27.75361111,4.64,,,,
289.0541667,21.39027778,4.77,,,,
303.81625,25.59194444,4.78,,,,
309.6304167,21.20111111,4.82,,,,
311.21875,25.27055556,4.91,,,,
297.7670833,22.61,4.95,,,,
293.6454167,19.77333333,5,,,,
313.64,28.0575,5.01,,,,
309.6329167,24.11611111,5.04,,,,
301.7225,23.61444444,5.07,,,,
303.8758333,23.50861111,5.15,,,,
291.3691667,19.79861111,5.16,,,,
290.7120833,26.2625,5.18,,,,
303.5604167,28.69472222,5.18,,,,
300.5058333,24.93805556,5.22,,,,
314.5683333,22.32583333,5.31,,,,
304.19625,24.67111111,5.32,,,,
321.9170833,27.60861111,5.41,,,,
289.4316667,23.02555556,5.43,,,,
295.92875,25.77194444,5.49,,,,
302.95,26.80888889,5.49,,,,
298.6295833,24.31944444,5.52,,,,
302.6395833,26.90416667,5.52,,,,
305.5141667,24.44611111,5.54,,,,
298.0066667,24.99222222,5.57,,,,
309.2695833,26.46194444,5.59,,,,
291.555,20.09777778,5.63,,,,
306.41875,21.40972222,5.66,,,,
299.79375,23.10138889,5.67,,,,
321.1416667,26.17444444,5.68,,,,
320.995,24.27416667,5.71,,,,
286.66,24.25083333,5.77,,,,
312.8675,28.25055556,5.77,,,,
291.6195833,19.89138889,5.81,,,,
292.2375,24.76861111,5.81,,,,
292.8408333,26.61722222,5.87,,,,
300.43625,24.80027778,5.88,,,,
309.64625,23.68055556,5.91,,,,
303.0029167,26.47888889,5.92,,,,
288.1529167,21.55444444,5.93,,,,
296.9525,25.38388889,5.95,,,,
309.7941667,21.81722222,6.08,,,,
316.5979167,26.92444444,6.12,,,,
321.0308333,25.31222222,6.15,,,,
291.3575,24.91277778,6.19,,,,
304.38125,29.14805556,6.22,,,,
287.015,21.69888889,6.23,,,,
302.8379167,21.87555556,6.26,,,,
295.9829167,27.13555556,6.28,,,,
284.9920833,22.81472222,6.29,,,,
320.0583333,22.02638889,6.29,,,,
291.3433333,20.27138889,6.31,,,,
294.0345833,22.58583333,6.32,,,,
321.09625,24.52888889,6.32,,,,
292.3370833,20.27972222,6.33,,,,
307.9925,25.80444444,6.34,,,,
295.3120833,22.45277778,6.36,,,,
297.4775,28.44055556,6.38,,,,
285.45625,22.26388889,6.4,,,,
290.9454167,20.26444444,6.4,,,,
309.0345833,25.8825,6.41,,,,
301.2441667,23.21027778,6.45,,,,
294.5729167,20.78277778,6.48,,,,
308.5416667,20.98527778,6.48,,,,
295.1179167,20.47666667,6.5,,,,
285.9270833,21.26777778,6.52,,,,
303.4191667,24.23888889,6.56,,,,
313.5933333,28.52194444,6.56,,,,
296.6645833,25.13388889,6.62,,,,
295.1654167,23.7175,6.64,,,,
317.6333333,22.45472222,6.68,,,,
285.3954167,25.02583333,6.72,,,,
294.1570833,20.33277778,7.14,,,,
