RA,Dec,mag,x,y,x0,y0
10.12708333,56.53722222,2.23,,,,
2.294583333,59.14972222,2.27,,,,
14.17708333,60.71666667,2.47,,,,
21.45416667,60.23527778,2.68,,,,
28.59875,63.67,3.38,,,,
12.275,57.81583333,3.44,,,,
9.242916667,53.89694444,3.66,,,,
30.85875,72.42138889,3.98,,,,
8.25,62.93166667,4.16,,,,
17.77583333,55.14972222,4.33,,,,
37.26666667,67.4025,4.52,,,,
11.18125,48.28444444,4.54,,,,
30.48916667,70.90694444,4.54,,,,
358.5958333,57.49944444,4.54,,,,
14.16583333,59.18111111,4.63,,,,
23.48291667,59.23194444,4.71,,,,
7.943333333,54.52222222,4.73,,,,
21.48333333,68.13,4.74,,,,
10.51625,50.5125,4.8,,,,
359.6033333,51.38861111,4.8,,,,
13.26708333,61.12416667,4.82,,,,
13.75041667,58.97277778,4.83,,,,
346.65375,59.41972222,4.85,,,,
47.98458333,74.39361111,4.87,,,,
356.7645833,58.65194444,4.87,,,,
359.7520833,55.755,4.88,,,,
12.20875,50.96833333,4.89,,,,
352.5083333,58.54888889,4.91,,,,
10.86708333,47.02472222,4.94,,,,
20.02041667,58.23166667,4.98,,,,
351.2095833,62.28277778,4.98,,,,
29,68.68527778,4.99,,,,
345.02125,56.94527778,5,,,,
9.034583333,54.16861111,5.08,,,,
39.50833333,72.81833333,5.16,,,,
17.06833333,54.92027778,5.17,,,,
25.73291667,70.6225,5.18,,,,
31.38,76.115,5.22,,,,
29.90833333,64.62138889,5.26,,,,
24.62875,73.04,5.28,,,,
17.66375,68.77861111,5.29,,,,
31.28083333,77.28138889,5.38,,,,
12.68166667,64.2475,5.39,,,,
6.197916667,61.83111111,5.4,,,,
11.94208333,74.8475,5.41,,,,
11.32166667,55.22166667,5.42,,,,
9.79125,49.35444444,5.43,,,,
357.2091667,62.21444444,5.43,,,,
356.7579167,57.45138889,5.51,,,,
349.17625,53.21361111,5.54,,,,
14.19625,60.36277778,5.55,,,,
17.85666667,64.20277778,5.55,,,,
359.2854167,55.70583333,5.55,,,,
0.40375,61.22305556,5.55,,,,
24.53166667,57.9775,5.56,,,,
348.3208333,57.16833333,5.56,,,,
350.6354167,60.13361111,5.56,,,,
6.065,52.02,5.57,,,,
17.9225,65.01888889,5.57,,,,
30.75125,64.39,5.58,,,,
1.610416667,64.19611111,5.59,,,,
25.58541667,68.04305556,5.59,,,,
43.98708333,61.52111111,5.59,,,,
7.921666667,52.83944444,5.6,,,,
26.93666667,63.85222222,5.63,,,,
11.41291667,74.98805556,5.65,,,,
11.11,47.86416667,5.67,,,,
23.3575,58.3275,5.7,,,,
347.43375,59.33305556,5.7,,,,
4.237916667,61.53333333,5.74,,,,
6.276666667,53.04694444,5.74,,,,
25.83208333,60.55111111,5.78,,,,
39.40041667,65.74555556,5.78,,,,
9.11375,60.32611111,5.79,,,,
17.13875,58.26361111,5.79,,,,
42.99458333,68.88861111,5.8,,,,
1.275833333,61.31416667,5.8,,,,
22.8075,70.26472222,5.81,,,,
10.51416667,66.1475,5.83,,,,
16.08166667,61.58027778,5.84,,,,
0.650416667,66.09888889,5.86,,,,
12.03791667,72.675,5.87,,,,
1.056666667,62.28777778,5.88,,,,
4.287916667,47.9475,5.89,,,,
46.82916667,64.05777778,5.89,,,,
15.90416667,61.075,5.92,,,,
8.293333333,54.895,5.93,,,,
7.582916667,59.97722222,5.94,,,,
41.20708333,67.82472222,5.95,,,,
1.566666667,58.43666667,5.96,,,,
14.62958333,66.35222222,5.97,,,,
16.01,52.50222222,5.99,,,,
30.71958333,64.90138889,6,,,,
358.8904167,57.41222222,6,,,,
29.63875,61.69805556,6.02,,,,
12.81833333,61.80583333,6.07,,,,
33.62125,66.52444444,6.07,,,,
4.429166667,51.43305556,6.14,,,,
22.71791667,66.09805556,6.14,,,,
10.62958333,58.75333333,6.17,,,,
7.855416667,66.51944444,6.18,,,,
42.23125,69.63416667,6.18,,,,
0.12875,59.55972222,6.19,,,,
345.3779167,57.10555556,6.2,,,,
7.729166667,77.01944444,6.21,,,,
12.89041667,51.57111111,6.21,,,,
14.05375,57.99666667,6.21,,,,
26.07458333,57.53638889,6.21,,,,
0.330416667,49.98166667,6.22,,,,
30.79375,73.85055556,6.23,,,,
44.10333333,64.3325,6.24,,,,
355.4770833,57.26,6.24,,,,
0.857083333,63.64194444,6.24,,,,
26.19208333,57.08916667,6.25,,,,
355.3620833,49.51222222,6.26,,,,
13.44833333,52.68916667,6.27,,,,
13.77166667,48.67861111,6.27,,,,
54.85333333,75.73972222,6.27,,,,
33.33833333,74.02777778,6.29,,,,
20.08125,77.57055556,6.31,,,,
52.58125,71.86388889,6.32,,,,
11.6625,69.325,6.33,,,,
357.3,58.96305556,6.33,,,,
20.27166667,64.65833333,6.34,,,,
25.74333333,61.42166667,6.34,,,,
357.2245833,59.97888889,6.34,,,,
14.23166667,68.77611111,6.37,,,,
25.57416667,58.62777778,6.37,,,,
16.78958333,53.49833333,6.38,,,,
20.49625,76.23888889,6.38,,,,
11.67666667,59.57444444,6.39,,,,
12.73916667,51.50805556,6.39,,,,
15.12916667,70.98305556,6.39,,,,
350.1441667,62.21305556,6.39,,,,
346.7933333,59.7275,6.4,,,,
355.63125,61.67944444,6.4,,,,
18.29125,61.70583333,6.41,,,,
357.1625,64.87638889,6.41,,,,
8.330416667,70.98166667,6.42,,,,
16.75083333,56.935,6.43,,,,
345.84,58.56472222,6.43,,,,
357.5929167,51.62166667,6.44,,,,
20.84,58.14305556,6.45,,,,
42.93958333,58.31472222,6.45,,,,
350.0595833,61.97,6.45,,,,
15.57666667,51.035,6.47,,,,
359.3895833,60.02361111,6.47,,,,
8.60375,66.75027778,6.48,,,,
21.44375,70.98,6.49,,,,
345.6825,55.23638889,6.5,,,,
356.20125,55.79972222,6.51,,,,
5.021666667,48.86527778,6.52,,,,
11.56291667,55.30527778,6.52,,,,
31.16708333,65.10333333,6.52,,,,
349.1116667,61.96305556,6.53,,,,
16.195,51.01,6.54,,,,
16.595,62.76166667,6.54,,,,
355.5866667,64.51555556,6.56,,,,
53.80166667,73.34694444,6.57,,,,
24.34375,74.30083333,6.58,,,,
35.05375,64.33722222,6.6,,,,
25.5125,61.03833333,6.71,,,,
2.62375,57.16555556,6.74,,,,
19.05041667,71.74388889,7.83,,,,
