RA,Dec,mag,x,y,x0,y0
163.3279167,34.215,3.83,,,,
156.9708333,36.70722222,4.21,,,,
151.8575,35.24472222,4.48,,,,
143.5558333,36.3975,4.55,,,,
159.68,31.97611111,4.71,,,,
156.47875,33.79611111,4.74,,,,
160.8541667,23.18833333,5.08,,,,
149.42125,41.05555556,5.14,,,,
161.46625,30.68222222,5.24,,,,
154.06,29.31055556,5.35,,,,
150.2529167,31.92361111,5.36,,,,
142.885,35.10305556,5.37,,,,
143.915,35.81027778,5.41,,,,
156.0358333,33.71861111,5.5,,,,
160.7575,26.32555556,5.51,,,,
158.37875,34.98861111,5.58,,,,
157.5266667,38.92527778,5.77,,,,
142.68,33.65555556,5.85,,,,
152.8033333,37.40194444,5.85,,,,
159.7816667,37.91,5.85,,,,
155.77625,33.90805556,5.9,,,,
157.9641667,32.37944444,5.9,,,,
160.5470833,31.69694444,6.02,,,,
162.47375,27.97388889,6.04,,,,
145.6779167,35.09333333,6.14,,,,
162.2383333,29.41583333,6.15,,,,
143.37625,36.48694444,6.18,,,,
163.6758333,25.49083333,6.2,,,,
152.06625,31.60416667,6.24,,,,
159.0891667,36.32694444,6.28,,,,
152.7454167,40.66138889,6.32,,,,
164.1433333,25.5,6.35,,,,
155.9241667,29.61583333,6.39,,,,
153.77625,31.46805556,6.46,,,,
154.1170833,28.6825,6.49,,,,
141.09375,36.58694444,6.67,,,,
