RA,Dec,mag,x,y,x0,y0
197.9683333,27.87805556,4.26,,,,
186.7345833,28.26833333,4.36,,,,
185.1791667,17.79277778,4.74,,,,
194.7308333,17.40944444,4.78,,,,
196.7945833,27.62472222,4.8,,,,
185.62625,25.84611111,4.81,,,,
188.7129167,22.62916667,4.81,,,,
193.3241667,21.245,4.9,,,,
195.06875,30.785,4.9,,,,
192.9245833,27.54055556,4.94,,,,
184.0854167,23.94527778,4.95,,,,
186.6004167,27.26833333,4.95,,,,
184.1254167,33.06138889,5,,,,
186.7470833,26.82555556,5,,,,
188.7825,18.37694444,5.02,,,,
184.0008333,14.89888889,5.1,,,,
191.66125,16.5775,5.12,,,,
186.0770833,26.09861111,5.18,,,,
197.4970833,17.52944444,5.22,,,,
197.4970833,17.52944444,5.22,,,,
187.2279167,25.91277778,5.29,,,,
187.7525,24.56722222,5.46,,,,
189.7804167,21.0625,5.46,,,,
187.3620833,24.10888889,5.48,,,,
185.0820833,26.61944444,5.54,,,,
183.03875,20.54194444,5.57,,,,
196.5941667,22.61611111,5.6,,,,
182.9633333,25.87027778,5.66,,,,
189.2429167,17.08944444,5.68,,,,
187.43,20.89611111,5.69,,,,
184.3770833,28.93722222,5.7,,,,
192.2258333,14.1225,5.7,,,,
192.3225,27.55222222,5.78,,,,
201.2779167,23.85444444,5.78,,,,
188.78375,21.88138889,5.85,,,,
181.0691667,21.45916667,5.87,,,,
197.4491667,16.84861111,5.91,,,,
195.29,17.12305556,5.96,,,,
196.5883333,21.15333333,5.99,,,,
182.6920833,27.28138889,6.01,,,,
186.3129167,23.92611111,6.03,,,,
198.3016667,18.72694444,6.11,,,,
203.2004167,24.34638889,6.11,,,,
185.07375,26.00194444,6.15,,,,
185.545,24.77388889,6.19,,,,
196.9733333,27.55583333,6.19,,,,
195.1616667,18.37305556,6.2,,,,
184.6316667,30.24916667,6.23,,,,
184.8295833,23.03472222,6.27,,,,
188.3925,24.28305556,6.29,,,,
193.115,16.1225,6.3,,,,
192.1958333,24.84027778,6.31,,,,
193.05125,17.07388889,6.32,,,,
184.8733333,28.15694444,6.33,,,,
198.035,24.25805556,6.33,,,,
184.4345833,15.14416667,6.34,,,,
189.75875,22.65944444,6.38,,,,
182.6316667,16.80916667,6.39,,,,
186.11125,25.58277778,6.42,,,,
192.5725,22.86333333,6.43,,,,
199.0595833,19.05166667,6.45,,,,
199.1345833,19.78527778,6.45,,,,
184.75875,26.00777778,6.48,,,,
183.005,28.53611111,6.49,,,,
198.1495833,18.75166667,6.53,,,,
187.15875,26.22666667,6.54,,,,
196.5425,29.02944444,6.54,,,,
188.77625,18.37722222,6.56,,,,
192.0595833,13.55305556,6.56,,,,
187.1858333,25.89916667,6.65,,,,
185.1720833,27.05472222,7.13,,,,
