RA,Dec,mag,x,y,x0,y0
337.8229167,50.2825,3.77,,,,
333.9925,37.74888889,4.13,,,,
337.3825,47.70694444,4.36,,,,
335.89,52.22916667,4.43,,,,
340.12875,44.27638889,4.46,,,,
333.4695833,39.715,4.49,,,,
337.6220833,43.12333333,4.51,,,,
335.2566667,46.53666667,4.57,,,,
336.1291667,49.47638889,4.57,,,,
339.3433333,51.54527778,4.63,,,,
339.8154167,39.05027778,4.88,,,,
343.0083333,43.3125,4.94,,,,
344.1083333,49.73361111,4.95,,,,
341.0229167,41.81916667,5.08,,,,
331.5083333,45.01444444,5.14,,,,
339.6579167,56.79583333,5.21,,,,
340.3691667,40.22555556,5.25,,,,
332.79125,50.82333333,5.4,,,,
342.4425,55.90277778,5.43,,,,
344.26875,48.68416667,5.43,,,,
333.4554167,45.44083333,5.53,,,,
344.0983333,41.60388889,5.59,,,,
333.685,42.95388889,5.71,,,,
338.4191667,56.625,5.71,,,,
338.9679167,39.63416667,5.73,,,,
343.9354167,36.35166667,5.74,,,,
341.5425,44.54611111,5.76,,,,
343.4170833,44.74916667,5.81,,,,
343.5291667,40.37694444,5.81,,,,
338.11,39.77972222,5.88,,,,
342.0454167,37.41666667,5.9,,,,
343.7608333,37.07694444,5.91,,,,
342.5908333,41.95361111,5.92,,,,
340.0766667,53.84611111,5.93,,,,
340.4004167,41.54944444,5.94,,,,
341.0216667,39.46555556,5.95,,,,
339.8929167,37.59277778,6.03,,,,
332.1708333,45.74194444,6.11,,,,
340.5866667,53.90888889,6.12,,,,
342.1991667,54.415,6.12,,,,
331.3183333,46.74472222,6.13,,,,
331.85625,53.30722222,6.14,,,,
336.8604167,39.80972222,6.14,,,,
334.7341667,37.76944444,6.17,,,,
344.4195833,39.30888889,6.18,,,,
331.5516667,45.24861111,6.19,,,,
342.5425,50.67694444,6.21,,,,
335.9758333,38.57361111,6.22,,,,
331.4633333,48.23166667,6.27,,,,
338.9725,50.07111111,6.29,,,,
339.2029167,35.6525,6.3,,,,
343.2970833,40.16722222,6.34,,,,
338.0783333,54.0375,6.35,,,,
338.9658333,56.07,6.38,,,,
340.76875,47.16861111,6.39,,,,
337.5270833,49.35611111,6.4,,,,
339.5729167,45.18305556,6.4,,,,
335.4620833,42.07833333,6.41,,,,
332.06875,49.79638889,6.42,,,,
335.165,50.98083333,6.42,,,,
340.73125,37.80277778,6.43,,,,
331.4608333,45.11222222,6.44,,,,
336.6904167,37.44388889,6.46,,,,
343.2179167,50.41194444,6.46,,,,
341.205,52.51722222,6.55,,,,
337.4329167,35.72555556,6.56,,,,
336.7466667,56.43333333,6.57,,,,
