RA,Dec,mag,x,y,x0,y0
247.555,21.48972222,2.77,,,,
250.3216667,31.60305556,2.81,,,,
258.7579167,24.83916667,3.14,,,,
258.7616667,36.80916667,3.16,,,,
266.6145833,27.72055556,3.42,,,,
258.6620833,14.39027778,3.48,,,,
250.7241667,38.92222222,3.53,,,,
269.44125,29.24777778,3.7,,,,
245.48,19.15305556,3.75,,,,
264.86625,46.00638889,3.8,,,,
271.8858333,28.7625,3.83,,,,
275.9245833,21.76972222,3.84,,,,
269.0633333,37.25055556,3.86,,,,
244.935,46.31333333,3.89,,,,
255.0725,30.92638889,3.92,,,,
281.4154167,20.54638889,4.19,,,,
248.5258333,42.43694444,4.2,,,,
242.1925,44.935,4.26,,,,
272.1895833,20.81444444,4.36,,,,
281.7554167,18.18138889,4.36,,,,
262.6845833,26.11055556,4.41,,,,
269.6258333,30.18944444,4.41,,,,
260.9208333,37.14583333,4.52,,,,
246.3541667,14.03333333,4.57,,,,
283.6870833,22.645,4.59,,,,
238.16875,42.45166667,4.62,,,,
259.4179167,37.29166667,4.65,,,,
270.0141667,16.75083333,4.67,,,,
240.6995833,46.03666667,4.76,,,,
252.3091667,45.98333333,4.82,,,,
259.33125,33.1,4.82,,,,
248.15125,11.48805556,4.84,,,,
249.6870833,48.92833333,4.9,,,,
256.3445833,12.74083333,4.91,,,,
275.0745833,21.96138889,4.95,,,,
270.3766667,21.59555556,4.96,,,,
272.9758333,31.40527778,4.97,,,,
255.7825,14.09194444,4.98,,,,
242.01875,17.04694444,5,,,,
260.07875,18.05722222,5,,,,
271.87,43.46166667,5,,,,
247.1604167,41.88166667,5.04,,,,
252.93875,24.65638889,5.04,,,,
271.75625,30.56194444,5.04,,,,
271.5079167,22.21888889,5.06,,,,
257.38875,40.77722222,5.08,,,,
272.2204167,20.04527778,5.1,,,,
240.3095833,17.81833333,5.12,,,,
260.2258333,24.49944444,5.12,,,,
267.205,25.62277778,5.12,,,,
275.2541667,28.87,5.12,,,,
251.4579167,8.5825,5.15,,,,
268.3254167,40.00805556,5.16,,,,
270.3745833,21.59527778,5.18,,,,
251.9433333,5.246666667,5.24,,,,
247.64,20.47916667,5.25,,,,
255.4016667,33.56833333,5.25,,,,
275.7041667,17.82666667,5.25,,,,
274.7945833,24.44611111,5.27,,,,
270.59625,20.83361111,5.28,,,,
253.2420833,31.70166667,5.32,,,,
253.8425,18.43333333,5.35,,,,
238.6579167,43.13861111,5.37,,,,
264.1566667,48.58555556,5.37,,,,
260.0408333,25.5375,5.38,,,,
257.0083333,35.93527778,5.39,,,,
258.6633333,14.39,5.39,,,,
260.165,32.46777778,5.39,,,,
253.73,20.95861111,5.41,,,,
275.53625,23.28527778,5.41,,,,
244.9795833,39.70861111,5.46,,,,
268.855,26.05,5.46,,,,
260.9195833,37.14666667,5.47,,,,
243.3141667,5.021111111,5.48,,,,
272.0091667,36.40138889,5.48,,,,
283.0683333,21.42527778,5.48,,,,
252.5808333,7.247777778,5.49,,,,
267.5954167,29.32222222,5.5,,,,
260.4316667,39.97444444,5.51,,,,
265.4945833,15.95194444,5.52,,,,
265.6183333,24.56416667,5.52,,,,
246.3508333,37.39388889,5.54,,,,
261.7045833,20.08083333,5.54,,,,
251.34375,15.74527778,5.56,,,,
256.5754167,22.08416667,5.56,,,,
268.9616667,22.46416667,5.58,,,,
272.4958333,36.46638889,5.58,,,,
260.0879167,46.24083333,5.59,,,,
262.7308333,31.15833333,5.61,,,,
278.8766667,23.60555556,5.61,,,,
262.9566667,28.4075,5.62,,,,
248.14875,5.521111111,5.63,,,,
275.2379167,29.85888889,5.63,,,,
263.345,19.25666667,5.64,,,,
247.9470833,45.59833333,5.65,,,,
255.2420833,22.63222222,5.65,,,,
259.7020833,28.82305556,5.65,,,,
269.9841667,45.50138889,5.67,,,,
243.8695833,18.80833333,5.69,,,,
263.4141667,16.3175,5.69,,,,
267.1033333,20.56555556,5.69,,,,
284.0258333,18.10527778,5.69,,,,
242.9083333,23.49472222,5.7,,,,
261.13125,16.30111111,5.71,,,,
265.84,24.32777778,5.71,,,,
271.4566667,32.23055556,5.71,,,,
252.6625,29.80666667,5.72,,,,
266.7833333,17.69722222,5.72,,,,
261.0275,22.96027778,5.74,,,,
263.2804167,41.24361111,5.74,,,,
238.8775,42.56611111,5.75,,,,
255.5779167,25.50555556,5.75,,,,
247.8058333,22.19527778,5.76,,,,
250.16125,4.219722222,5.77,,,,
264.3795833,24.31,5.77,,,,
277.7683333,16.92861111,5.77,,,,
278.8025,18.20333333,5.78,,,,
249.0466667,46.61333333,5.79,,,,
276.495,29.82888889,5.83,,,,
278.1925,23.61694444,5.84,,,,
246.045,6.948055556,5.85,,,,
261.6841667,48.26,5.85,,,,
271.95625,26.10138889,5.86,,,,
242.9483333,42.37444444,5.87,,,,
251.8325,42.23888889,5.87,,,,
272.9379167,33.44694444,5.88,,,,
282.2225,19.32861111,5.88,,,,
271.95625,26.0975,5.9,,,,
277.39875,23.86611111,5.9,,,,
244.7966667,49.03805556,5.91,,,,
252.3941667,13.26138889,5.91,,,,
250.4029167,26.91694444,5.92,,,,
255.91375,13.60527778,5.93,,,,
