RA,Dec,mag,x,y,x0,y0
193.5070833,55.95972222,1.77,,,,
165.9320833,61.75083333,1.79,,,,
206.885,49.31333333,1.86,,,,
200.98125,54.92527778,2.27,,,,
165.4604167,56.3825,2.37,,,,
178.4575,53.69472222,2.44,,,,
167.4158333,44.49861111,3.01,,,,
155.5820833,41.49944444,3.05,,,,
134.8016667,48.04166667,3.14,,,,
143.2141667,51.67722222,3.17,,,,
183.8566667,57.0325,3.31,,,,
127.56625,60.71805556,3.36,,,,
154.2741667,42.91444444,3.45,,,,
169.6195833,33.09416667,3.48,,,,
135.90625,47.15666667,3.6,,,,
142.8820833,63.06194444,3.67,,,,
176.5125,47.77944444,3.71,,,,
147.7475,59.03861111,3.8,,,,
200.985,54.92166667,3.95,,,,
201.30625,54.98805556,4.01,,,,
169.5458333,31.52916667,4.41,,,,
137.2179167,51.60472222,4.48,,,,
143.70625,52.05138889,4.5,,,,
143.6204167,69.83027778,4.56,,,,
148.0266667,54.06444444,4.59,,,,
130.0533333,64.32777778,4.6,,,,
205.1845833,54.68166667,4.66,,,,
137.7295833,63.51361111,4.67,,,,
163.4945833,43.19,4.71,,,,
158.3079167,40.42555556,4.75,,,,
135.63625,67.62972222,4.76,,,,
169.7829167,38.18555556,4.78,,,,
137.5966667,67.13472222,4.8,,,,
139.0470833,54.02194444,4.83,,,,
157.6566667,55.98055556,4.84,,,,
169.5454167,31.52916667,4.87,,,,
195.1825,56.36638889,4.93,,,,
156.0329167,65.56638889,4.97,,,,
170.7066667,43.48277778,4.99,,,,
160.7670833,69.07611111,5,,,,
163.935,33.50694444,5.03,,,,
164.8666667,40.43027778,5.05,,,,
165.21,39.21222222,5.08,,,,
147.1475,46.02111111,5.09,,,,
163.39375,54.585,5.1,,,,
160.4858333,65.71638889,5.12,,,,
138.5858333,61.42333333,5.13,,,,
137.0983333,66.87333333,5.14,,,,
158.7904167,57.08277778,5.16,,,,
145.7383333,72.2525,5.17,,,,
160.8870833,46.20388889,5.18,,,,
146.6320833,57.12805556,5.2,,,,
180.5283333,43.04555556,5.21,,,,
138.9579167,56.74138889,5.27,,,,
148.9291667,49.82,5.27,,,,
176.7316667,55.62833333,5.27,,,,
172.2675,39.33694444,5.31,,,,
123.2033333,68.47416667,5.32,,,,
175.2625,34.20166667,5.33,,,,
187.48875,58.40583333,5.35,,,,
202.1129167,59.94583333,5.4,,,,
142.1666667,45.60138889,5.41,,,,
204.8766667,52.92138889,5.46,,,,
128.6508333,65.145,5.47,,,,
140.4304167,56.69916667,5.47,,,,
165.06125,45.52611111,5.47,,,,
149.9654167,56.81194444,5.48,,,,
173.0866667,61.0825,5.48,,,,
189.0970833,59.48694444,5.5,,,,
159.77375,53.66833333,5.52,,,,
185.2116667,57.86388889,5.55,,,,
134.15625,64.60388889,5.58,,,,
162.84875,59.32,5.58,,,,
174.5858333,43.62555556,5.59,,,,
180.4145833,36.04194444,5.59,,,,
203.5304167,55.34861111,5.6,,,,
173.7704167,54.78527778,5.63,,,,
129.79875,65.02083333,5.64,,,,
129.5925,53.40138889,5.66,,,,
162.79625,56.58222222,5.67,,,,
145.5616667,69.2375,5.69,,,,
177.42375,34.93166667,5.7,,,,
186.89625,55.71277778,5.7,,,,
206.64875,54.43277778,5.7,,,,
208.4625,53.72861111,5.7,,,,
124.8220833,62.50722222,5.71,,,,
143.7233333,72.20555556,5.72,,,,
163.7425,34.03472222,5.72,,,,
133.3441667,61.96222222,5.73,,,,
175.3929167,31.74611111,5.73,,,,
151.15125,53.89166667,5.74,,,,
167.3295833,36.30944444,5.74,,,,
136.0016667,54.28388889,5.75,,,,
160.45125,68.44333333,5.75,,,,
171.4879167,55.85055556,5.75,,,,
155.54375,41.22944444,5.76,,,,
160.9304167,57.19916667,5.8,,,,
184.3729167,53.19111111,5.81,,,,
186.2633333,56.7775,5.81,,,,
154.5083333,65.10833333,5.82,,,,
