RA,Dec,mag,x,y,x0,y0
75.85458333,60.44222222,4.03,,,,
52.26708333,59.94027778,4.21,,,,
73.5125,66.34277778,4.29,,,,
57.38,65.52611111,4.47,,,,
74.32166667,53.75222222,4.47,,,,
52.47875,58.87861111,4.54,,,,
105.0166667,76.9775,4.55,,,,
57.58958333,71.33222222,4.63,,,,
56.50958333,63.345,4.8,,,,
94.71166667,69.31972222,4.8,,,,
49.9975,65.65222222,4.84,,,,
112.7683333,82.41138889,4.96,,,,
59.28458333,61.10888889,5,,,,
59.35625,63.07222222,5.03,,,,
69.97791667,53.07972222,5.05,,,,
80.63958333,79.23111111,5.05,,,,
61.11333333,59.15555556,5.06,,,,
76.53541667,58.9725,5.08,,,,
52.50083333,55.45194444,5.09,,,,
55.53875,63.21666667,5.1,,,,
103.4258333,68.88833333,5.12,,,,
102.7379167,67.57194444,5.14,,,,
183.0495833,77.61638889,5.14,,,,
64.17958333,53.61194444,5.19,,,,
88.74083333,59.88833333,5.2,,,,
51.16875,64.58611111,5.23,,,,
157.7691667,82.55861111,5.26,,,,
65.16791667,65.14055556,5.27,,,,
80.86583333,57.54444444,5.28,,,,
192.3066667,83.41277778,5.28,,,,
72.00125,56.75722222,5.3,,,,
93.21291667,65.71833333,5.32,,,,
69.99208333,53.47305556,5.35,,,,
93.91916667,59.99916667,5.35,,,,
92.49625,58.93583333,5.36,,,,
65.44833333,60.73555556,5.39,,,,
120.04875,73.91805556,5.41,,,,
82.5425,63.06722222,5.42,,,,
121.19625,79.47972222,5.42,,,,
78.09333333,73.94666667,5.43,,,,
57.3075,70.87111111,5.44,,,,
73.02166667,63.50527778,5.44,,,,
101.55875,79.56472222,5.45,,,,
157.4229167,84.25222222,5.5,,,,
73.76291667,55.25916667,5.52,,,,
124.8841667,75.75694444,5.54,,,,
85.61,65.69777778,5.6,,,,
80.09416667,62.65361111,5.61,,,,
112.7195833,68.46555556,5.64,,,,
105.3395833,70.80805556,5.68,,,,
64.22333333,61.85027778,5.7,,,,
64.28416667,57.86055556,5.71,,,,
100.12,77.99583333,5.73,,,,
79.55541667,73.26805556,5.74,,,,
74.02958333,52.86944444,5.75,,,,
55.67791667,59.96944444,5.76,,,,
68.0075,53.91083333,5.77,,,,
201.73625,78.64388889,5.77,,,,
56.50375,67.20166667,5.8,,,,
58.43041667,57.975,5.8,,,,
181.3129167,76.90583333,5.8,,,,
57.40291667,63.29722222,5.85,,,,
192.2775,83.41805556,5.85,,,,
61.51291667,68.68,5.87,,,,
65.46583333,56.50666667,5.88,,,,
100.1341667,71.74888889,5.92,,,,
116.6670833,65.45583333,5.92,,,,
68.37791667,72.52861111,5.94,,,,
69.10083333,64.26166667,5.94,,,,
86.62666667,56.11555556,5.94,,,,
76.16583333,74.06694444,5.96,,,,
97.06083333,70.53555556,5.97,,,,
53.4125,54.97472222,5.98,,,,
205.59625,82.7525,5.98,,,,
182.75,81.71,6,,,,
120.4266667,60.32444444,6.01,,,,
63.43708333,72.12638889,6.03,,,,
75.39958333,61.07805556,6.03,,,,
76.62375,61.17,6.04,,,,
85.75666667,56.58166667,6.05,,,,
72.20958333,75.94111111,6.06,,,,
75.58375,74.26916667,6.06,,,,
63.7575,57.46027778,6.08,,,,
74.94291667,53.15555556,6.08,,,,
76.55083333,59.02111111,6.08,,,,
56.88416667,55.9225,6.1,,,,
52.54708333,59.36611111,6.13,,,,
79.86583333,58.11722222,6.13,,,,
87.27041667,62.80805556,6.13,,,,
88.0725,58.96416667,6.14,,,,
78.79708333,59.40555556,6.15,,,,
84.31291667,64.15472222,6.15,,,,
86.03583333,61.47666667,6.15,,,,
129.9275,73.62972222,6.15,,,,
172.96,81.12722222,6.15,,,,
61.6625,65.52083333,6.17,,,,
78.26333333,61.85,6.17,,,,
84.93208333,75.04388889,6.17,,,,
180.0775,80.85305556,6.17,,,,
62.34333333,54.82888889,6.18,,,,
65.74125,59.61638889,6.19,,,,
75.71,66.82277778,6.19,,,,
88.23125,68.47138889,6.2,,,,
99.47875,73.69555556,6.24,,,,
89.39583333,66.09611111,6.25,,,,
198.1058333,80.47138889,6.25,,,,
72.02916667,55.6025,6.26,,,,
84.3175,66.69611111,6.26,,,,
181.1170833,85.58722222,6.27,,,,
62.365,59.90805556,6.28,,,,
54.58208333,56.93277778,6.3,,,,
61.6525,54.00861111,6.31,,,,
111.34125,81.2575,6.31,,,,
129.2029167,74.72361111,6.31,,,,
57.92416667,68.5075,6.32,,,,
63.215,68.50166667,6.32,,,,
66.75375,57.58527778,6.32,,,,
126.1370833,82.43083333,6.32,,,,
138.8383333,84.18111111,6.33,,,,
59.12583333,71.82166667,6.34,,,,
91.28458333,59.39305556,6.34,,,,
108.4920833,71.81666667,6.35,,,,
110.5716667,59.90194444,6.35,,,,
49.38166667,65.65861111,6.36,,,,
