RA,Dec,mag,x,y,x0,y0
213.9154167,19.1825,-0.04,,,,
208.67125,18.39777778,2.68,,,,
221.2466667,27.07416667,2.7,,,,
218.0195833,38.30833333,3.03,,,,
228.8758333,33.31472222,3.47,,,,
225.4866667,40.39055556,3.5,,,,
217.9575,30.37138889,3.58,,,,
216.2991667,51.85083333,4.05,,,,
207.3691667,15.79777778,4.07,,,,
214.0958333,46.08833333,4.18,,,,
231.1225,37.37722222,4.31,,,,
220.2870833,13.72833333,4.43,,,,
218.67,29.745,4.46,,,,
206.8154167,17.45666667,4.5,,,,
213.3708333,51.79027778,4.54,,,,
226.11125,26.9475,4.54,,,,
222.8470833,19.10111111,4.55,,,,
221.3104167,16.96444444,4.6,,,,
214.04125,51.36722222,4.75,,,,
225.9475,47.65444444,4.76,,,,
214.4991667,35.50944444,4.81,,,,
220.8558333,26.52777778,4.81,,,,
225.5270833,25.00805556,4.81,,,,
212.5995833,25.09166667,4.83,,,,
220.2870833,13.72833333,4.83,,,,
214.9383333,16.30694444,4.86,,,,
220.4116667,8.161666667,4.86,,,,
207.4283333,21.26416667,4.91,,,,
226.8254167,24.86916667,4.93,,,,
220.1816667,16.41833333,4.94,,,,
209.1425,27.49194444,5.01,,,,
232.7325,40.83305556,5.02,,,,
232.9458333,40.89944444,5.02,,,,
215.8445833,8.446666667,5.12,,,,
221.2466667,27.075,5.12,,,,
234.4566667,40.35333333,5.24,,,,
212.0720833,49.45805556,5.25,,,,
226.5695833,54.55638889,5.25,,,,
228.6216667,29.16416667,5.26,,,,
211.9825,43.85444444,5.27,,,,
213.7116667,10.10055556,5.29,,,,
230.4525,32.93388889,5.37,,,,
216.6141667,19.22694444,5.39,,,,
219.7091667,44.40444444,5.39,,,,
214.8179167,13.00416667,5.41,,,,
231.5725,34.33583333,5.46,,,,
222.6233333,37.27194444,5.48,,,,
230.6558333,39.58138889,5.5,,,,
225.7754167,35.20583333,5.51,,,,
235.71125,52.36083333,5.51,,,,
213.5216667,12.95944444,5.54,,,,
220.43125,11.66055556,5.56,,,,
204.8941667,10.74611111,5.57,,,,
226.3575,48.15111111,5.57,,,,
217.1575,49.84472222,5.59,,,,
205.2595833,22.49583333,5.62,,,,
221.525,15.13194444,5.63,,,,
224.0958333,49.62861111,5.63,,,,
224.90375,39.26527778,5.64,,,,
230.0216667,51.95861111,5.66,,,,
227.0991667,26.30111111,5.67,,,,
222.4220833,48.72055556,5.69,,,,
208.30375,17.93277778,5.7,,,,
219.5520833,43.64194444,5.7,,,,
224.29875,16.38833333,5.71,,,,
220.935,40.45916667,5.73,,,,
204.24625,24.61333333,5.74,,,,
218.665,49.36833333,5.74,,,,
222.3279167,46.11611111,5.74,,,,
205.16875,19.95555556,5.75,,,,
234.5675,46.79777778,5.75,,,,
209.6620833,21.69611111,5.76,,,,
224.055,14.44638889,5.77,,,,
214.3683333,15.26333333,5.8,,,,
222.4933333,28.61583333,5.8,,,,
227.1479167,25.10861111,5.81,,,,
234.6429167,50.42333333,5.84,,,,
219.5633333,54.02333333,5.85,,,,
222.5658333,23.91194444,5.85,,,,
220.1829167,16.41777778,5.88,,,,
219.5583333,18.29833333,5.91,,,,
220.1766667,13.53416667,5.91,,,,
218.1354167,22.26,5.92,,,,
206.6804167,25.70222222,5.95,,,,
216.00375,8.243611111,5.95,,,,
214.0175,18.91194444,5.98,,,,
210.335,8.894722222,5.99,,,,
228.5254167,31.78805556,5.99,,,,
209.66625,14.64944444,6,,,,
218.0841667,26.67722222,6.01,,,,
223.34875,19.15277778,6.01,,,,
231.02125,45.27111111,6.01,,,,
226.835,18.44166667,6.02,,,,
218.6604167,36.62583333,6.03,,,,
208.0766667,12.16527778,6.04,,,,
217.4570833,31.79111111,6.06,,,,
217.0683333,36.19694444,6.1,,,,
220.09125,21.97555556,6.1,,,,
227.2225,13.235,6.1,,,,
212.8129167,32.29555556,6.11,,,,
223.9945833,32.30027778,6.12,,,,
205.9383333,22.70027778,6.13,,,,
221.33625,18.88472222,6.13,,,,
228.5429167,42.17138889,6.13,,,,
222.0970833,24.36666667,6.14,,,,
232.1854167,47.20138889,6.15,,,,
205.5529167,8.388333333,6.16,,,,
208.9583333,14.05638889,6.16,,,,
222.2779167,37.81111111,6.16,,,,
216.07625,8.085,6.19,,,,
230.1733333,44.43416667,6.19,,,,
210.6325,9.686388889,6.2,,,,
214.3379167,51.30722222,6.2,,,,
228.3983333,38.26472222,6.2,,,,
215.7783333,25.33805556,6.22,,,,
210.29375,27.38666667,6.23,,,,
213.5979167,41.51888889,6.24,,,,
214.1366667,20.12138889,6.25,,,,
210.9033333,7.546388889,6.26,,,,
216.3716667,38.39305556,6.27,,,,
221.3070833,32.78833333,6.28,,,,
210.8845833,10.78666667,6.3,,,,
214.455,48.00166667,6.32,,,,
214.94875,38.79388889,6.33,,,,
218.54875,32.53444444,6.33,,,,
217.4033333,41.79583333,6.35,,,,
226.64625,36.45555556,6.35,,,,
225.16125,47.27777778,6.37,,,,
232.61625,36.80416667,6.37,,,,
214.1008333,39.74472222,6.38,,,,
219.02875,23.25027778,6.38,,,,
220.4758333,21.12361111,6.38,,,,
225.2183333,22.04555556,6.38,,,,
213.6708333,21.87333333,6.39,,,,
227.08125,50.055,6.39,,,,
223.3470833,15.70444444,6.4,,,,
218.3345833,36.95944444,6.43,,,,
215.03625,30.42916667,6.44,,,,
204.7595833,18.26527778,6.48,,,,
224.265,21.55527778,6.49,,,,
231.12875,37.34777778,6.5,,,,
222.3845833,51.37472222,6.51,,,,
204.5329167,14.30166667,6.52,,,,
214.7325,54.86416667,6.53,,,,
213.8204167,52.53583333,6.58,,,,
225.9020833,34.56611111,6.59,,,,
216.86375,41.025,6.63,,,,
225.7775,44.64444444,6.65,,,,
213.3654167,51.78777778,6.69,,,,
234.0170833,52.06972222,6.74,,,,
214.7320833,38.7675,6.86,,,,
215.8441667,8.445,6.86,,,,
217.13875,28.29083333,7.12,,,,
217.13125,28.28916667,7.62,,,,
