RA,Dec,mag,x,y,x0,y0
194.0070833,38.31833333,2.9,,,,
188.4354167,41.3575,4.26,,,,
203.61375,49.01611111,4.7,,,,
199.3854167,40.5725,4.73,,,,
207.9479167,34.44416667,4.74,,,,
186.00625,51.56222222,4.8,,,,
204.365,36.295,4.82,,,,
198.4291667,40.15277778,4.92,,,,
203.6991667,37.1825,4.98,,,,
191.2825,45.44027778,4.99,,,,
186.4620833,39.01861111,5.02,,,,
199.5604167,49.68194444,5.15,,,,
196.4354167,35.79888889,5.25,,,,
184.9529167,48.98416667,5.29,,,,
188.4120833,33.2475,5.42,,,,
206.7491667,38.54277778,5.5,,,,
194.0016667,38.31472222,5.6,,,,
200.0791667,40.15055556,5.6,,,,
207.16125,31.19027778,5.62,,,,
196.4679167,45.26861111,5.63,,,,
184.0316667,40.66027778,5.66,,,,
198.8833333,40.85527778,5.79,,,,
199.6158333,34.09805556,5.82,,,,
193.7354167,47.19666667,5.84,,,,
206.55625,41.08861111,5.87,,,,
207.7883333,34.66444444,5.87,,,,
201.5691667,46.02805556,5.88,,,,
192.5445833,37.51694444,5.89,,,,
208.2929167,28.64805556,5.9,,,,
197.5133333,38.49888889,5.91,,,,
206.5791667,38.50388889,5.94,,,,
191.2479167,39.27888889,5.95,,,,
205.6808333,34.98888889,5.98,,,,
197.41125,37.42305556,6.02,,,,
199.7675,35.12805556,6.02,,,,
185.9458333,42.54277778,6.06,,,,
200.975,37.03388889,6.07,,,,
202.8158333,42.10611111,6.08,,,,
194.2820833,46.17694444,6.12,,,,
187.5120833,51.53555556,6.21,,,,
205.065,31.01194444,6.21,,,,
205.1629167,28.06527778,6.23,,,,
188.4475,33.38472222,6.24,,,,
193.5545833,33.53444444,6.26,,,,
192.1741667,48.46694444,6.27,,,,
210.5508333,45.75361111,6.27,,,,
197.425,38.53388889,6.28,,,,
205.62,41.67416667,6.3,,,,
209.04375,32.0325,6.32,,,,
191.1129167,44.10305556,6.33,,,,
200.5158333,43.90305556,6.35,,,,
189.6929167,40.87444444,6.37,,,,
203.5908333,38.78916667,6.37,,,,
207.4375,36.63277778,6.38,,,,
202.1904167,50.71833333,6.43,,,,
189.8204167,35.95194444,6.45,,,,
202.1091667,40.72972222,6.47,,,,
207.76875,34.7725,6.65,,,,
202.04875,50.58722222,6.8,,,,
203.80875,44.19694444,6.84,,,,
207.2383333,39.54277778,7.4,,,,
